GD;Dot_Inicial;Desp_Liqui;Dotacao_Inicial;Despesa_Liquidada;Exercicio
1;5318891989;6265234859;5,318891989;6,265234859;1999
2;381661676;284615274,1;0,381661676;0,284615274;1999
3;64551520;72970279,12;0,06455152;0,072970279;1999
4;4399734887;4023249007;4,399734887;4,023249007;1999
5;1329529943;289693547,5;1,329529943;0,289693547;1999
6;20545532;23927266;0,020545532;0,023927266;1999
7;1610153789;2433941909;1,610153789;2,433941909;1999
8;13629883;6240278,3;0,013629883;0,006240278;1999
9;5681603;0;0,005681603;0;1999
1;8026329478;7818997077;8,026329478;7,818997077;2000
2;545840000;753105887,2;0,54584;0,753105887;2000
3;131306279;70002559,55;0,131306279;0,07000256;2000
4;6031395573;5959010663;6,031395573;5,959010663;2000
5;1898446617;1478186077;1,898446617;1,478186077;2000
6;32707869;41366867,52;0,032707869;0,041366868;2000
7;1581733000;315677884,8;1,581733;0,315677885;2000
8;19917043;100000;0,019917043;0,0001;2000
9;605940;0;0,00060594;0;2000
1;7087005822;7788677091;7,087005822;7,788677091;2001
2;1167747374;1091269998;1,167747374;1,091269998;2001
3;124085990;96828402,64;0,12408599;0,096828403;2001
4;6918453612;6667116733;6,918453612;6,667116733;2001
5;2494819713;1680211475;2,494819713;1,680211475;2001
6;10259500;55990676,37;0,0102595;0,055990676;2001
7;357151775;350400008,8;0,357151775;0,350400009;2001
8;56113453;36967364,08;0,056113453;0,036967364;2001
9;1000000;0;0,001;0;2001
1;8600806218;9338798526;8,600806218;9,338798526;2002
2;1635244131;1489941410;1,635244131;1,48994141;2002
3;8027506908;7372253677;8,027506908;7,372253677;2002
4;2298997817;1501112275;2,298997817;1,501112275;2002
5;59037226;13023362,79;0,059037226;0,013023363;2002
6;647212365;508943400,5;0,647212365;0,5089434;2002
9;162528218;0;0,162528218;0;2002
1;12067435432;11771431351;12,06743543;11,77143135;2003
2;1960231993;1851883558;1,960231993;1,851883558;2003
3;10452188929;10132611183;10,45218893;10,13261118;2003
4;2472029794;575594602,8;2,472029794;0,575594603;2003
5;32193013;8812278,49;0,032193013;0,008812278;2003
6;641904142;559451795,7;0,641904142;0,559451796;2003
9;24634;0;0,000024634;0;2003
1;11790694580;11292176308;11,79069458;11,29217631;2004
2;2253803382;1673602346;2,253803382;1,673602346;2004
3;13042345473;12452523325;13,04234547;12,45252333;2004
4;2871190096;1183682372;2,871190096;1,183682372;2004
5;160026568;13927720,5;0,160026568;0,013927721;2004
6;767119344;849982967,7;0,767119344;0,849982968;2004
9;26743077;0;0,026743077;0;2004
1;12769629261;7339461665;12,76962926;7,339461665;2005
2;2096880776;1997551411;2,096880776;1,997551411;2005
3;13938735081;18744893331;13,93873508;18,74489333;2005
4;2681251776;1360250851;2,681251776;1,360250851;2005
5;33287100;30317839,49;0,0332871;0,030317839;2005
6;736053006;712696476,7;0,736053006;0,712696477;2005
9;5000000;0;0,005;0;2005
1;8104552503;7928720199;8,104552503;7,928720199;2006
2;2486933394;2167338831;2,486933394;2,167338831;2006
3;20895339844;20990202806;20,89533984;20,99020281;2006
4;2129531394;1658973482;2,129531394;1,658973482;2006
5;531093644;651868302,7;0,531093644;0,651868303;2006
6;841075208;728646177,5;0,841075208;0,728646177;2006
9;1000780;0;0,00100078;0;2006
1;9979939945;9730749295;9,979939945;9,730749295;2007
2;2204644540;2373212599;2,20464454;2,373212599;2007
3;21648181843;21114397253;21,64818184;21,11439725;2007
4;1998961801;1348093767;1,998961801;1,348093767;2007
5;89105802;64929938,18;0,089105802;0,064929938;2007
6;832565925;840567750,3;0,832565925;0,84056775;2007
9;400000;0;0,0004;0;2007
1;10859153582;10697665761;10,85915358;10,69766576;2008
2;2469773795;2511153785;2,469773795;2,511153785;2008
3;22532781338;24657311067;22,53278134;24,65731107;2008
4;2921534027;1627734178;2,921534027;1,627734178;2008
5;179006090;128226799,3;0,17900609;0,128226799;2008
6;916394598;883067756,6;0,916394598;0,883067757;2008
9;500000;0;0,0005;0;2008
1;12049349432;11848073416;12,04934943;11,84807342;2009
2;2865206572;2348292826;2,865206572;2,348292826;2009
3;26058711425;26967100427;26,05871143;26,96710043;2009
4;4467210815;2694470948;4,467210815;2,694470948;2009
5;93123145;125406226,6;0,093123145;0,125406227;2009
6;1142541078;1291313177;1,142541078;1,291313177;2009
9;300000;0;0,0003;0;2009
1;12427605081;12962927867;12,42760508;12,96292787;2010
2;2652843199;2334210622;2,652843199;2,334210622;2010
3;26082062839;28985041465;26,08206284;28,98504146;2010
4;4946248756;5022230629;4,946248756;5,022230629;2010
5;120108857;115592028;0,120108857;0,115592028;2010
6;1174240570;1227768256;1,17424057;1,227768256;2010
9;300000;0;0,0003;0;2010
1;14854543758;14245191686;14,85454376;14,24519169;2011
2;2356554450;2469236443;2,35655445;2,469236443;2011
3;30879609209;33036909855;30,87960921;33,03690985;2011
4;6028326660;4676464805;6,02832666;4,676464805;2011
5;138995889;231248324,4;0,138995889;0,231248324;2011
6;1955295466;1630549419;1,955295466;1,630549419;2011
9;300000;0;0,0003;0;2011
1;16825013732;16398688186;16,82501373;16,39868819;2012
2;2543765503;2633461022;2,543765503;2,633461022;2012
3;35650228047;36438691819;35,65022805;36,43869182;2012
4;6734791483;5553864297;6,734791483;5,553864297;2012
5;121623646;204496199,9;0,121623646;0,2044962;2012
6;2156495622;2225819083;2,156495622;2,225819083;2012
9;300000;0;0,0003;0;2012
1;19121183914;20828747989;19,12118391;20,82874799;2013
2;2784676643;2931170059;2,784676643;2,931170059;2013
3;38483734130;37413427342;38,48373413;37,41342734;2013
4;9413086949;6828191399;9,413086949;6,828191399;2013
